ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23655	20000179451	4766.043	4763.102	2.942	-0.01073	0.04388	
YAL002W	0.003231	26691	20000324230	5259.433	5252.066	7.366	-0.004466	0.06035	
YAL003W	4.073	3722	20007899609	831.582	829.956	1.626	-0.01095	0.0007303	
YAL005C	1.19	12292	20000343002	2609.506	2592.840	16.666	-0.03748	0.007723	
YAL007C	0.09272	4435	20017588467	868.493	868.205	0.289	0.001246	0.001572	
YAL008W	0.07363	4327	20001297981	799.488	799.777	-0.289	0.0009045	0.001344	
YAL009W	0.02451	5363	20000103689	1046.846	1046.905	-0.060	0.003948	0.001721	
YAL010C	0.008606	10043	20005254401	1998.492	1999.823	-1.331	0.001939	0.0091	
YAL011W	0.01638	12074	20000586229	2538.386	2539.985	-1.599	-0.003443	0.01237	
YAL012W	1.262	8542	20002975954	1593.613	1589.786	3.827	-0.01563	0.003692	
YAL013W	0.06334	8112	20005403722	1700.830	1700.183	0.647	-0.001855	0.005514	
YAL014C	0.02744	5533	20000211257	1031.031	1030.910	0.121	0.0003678	0.003302	
YAL015C	0.02572	8476	20009418285	1615.688	1614.794	0.894	-0.00129	0.004957	
YAL016W	0.2432	13850	20002759557	2581.107	2574.722	6.385	-0.01655	0.01299	
YAL017W	0.009617	28000	20000028892	5595.908	5592.694	3.214	-0.001966	0.05887	
YAL018C	0.007849	6775	20001181603	1313.259	1313.331	-0.072	-0.001906	0.003374	
YAL019W	0.03881	22863	20000703042	4639.374	4637.326	2.047	-0.01209	0.04427	
YAL020C	0.0247	7296	20000734257	1347.401	1346.686	0.715	-0.001024	0.003527	
YAL021C	0.0777	17028	20000257753	3413.580	3407.413	6.168	-0.01465	0.02072	
YAL022C	0.09222	10682	20001456665	2098.698	2094.574	4.124	-0.005785	0.008161	
YAL023C	0.3228	15620	20003864541	3095.704	3079.377	16.327	-0.02843	0.01648	
YAL024C	0.002008	28705	20000454072	5932.945	5938.319	-5.375	-0.006849	0.07445	
YAL025C	0.08824	5584	20002312548	1236.365	1236.897	-0.533	0.00495	0.002161	
YAL026C	0.003022	28053	20000700812	5588.638	5586.057	2.581	-0.007144	0.05703	
YAL027W	0.02962	5430	20000159281	1054.331	1055.012	-0.680	0.002925	0.00234	
YAL028W	0.00626	10849	20001316881	2142.348	2140.899	1.449	-0.003656	0.009401	
YAL029C	0.0107	29540	20000247662	6098.922	6086.760	12.162	-0.008272	0.0836	
YAL030W	0.2404	2564	20013588482	473.159	473.252	-0.093	1.876e-07	0.0003057	
YAL031C	0.01527	16301	20001283554	3102.831	3100.559	2.272	-0.003502	0.02345	
YAL032C	0.005799	8063	20004012327	1533.421	1533.868	-0.448	0.003452	0.004086	
YAL033W	0.07453	3445	20003619137	698.417	698.580	-0.163	0.0005602	0.0007076	
YAL034C	0.001526	8885	20000099396	1673.013	1672.153	0.860	-0.001734	0.005944	
YAL034WA	0.006985	5896	20005713725	1168.123	1168.506	-0.383	0.001548	0.003392	
YAL035W	0.2857	20246	20000393407	4110.921	4081.618	29.303	-0.03716	0.02706	
YAL036C	0.3492	7952	20000187394	1494.177	1490.532	3.645	-0.009828	0.003992	
YAL037W	0.008014	5466	20002787058	1078.459	1078.585	-0.126	-0.003475	0.002892	
YAL038W	14.56	4964	20001938008	2027.733	2012.206	15.526	-0.04107	0.003313	
YAL039C	0.2378	5375	20001279608	1086.577	1085.849	0.728	-0.007977	0.002255	
YAL040C	0.01916	12591	20000241087	2358.098	2353.319	4.779	-0.01052	0.01306	
YAL041W	0.01412	16909	20000423818	3484.153	3483.906	0.247	-0.007775	0.02476	
YAL042W	0.4625	8497	20005906952	1679.095	1675.983	3.111	-0.01309	0.004267	
YAL043C	0.02276	16850	20000216896	3206.672	3200.941	5.731	-0.01102	0.02563	
YAL044C	1.007	3596	20010770230	686.696	686.109	0.587	-0.004089	0.0008098	
YAL046C	0.06163	2410	20011388555	477.495	477.514	-0.020	0.0004455	0.0006715	
YAL047C	0.006219	11983	20001838103	2529.792	2528.724	1.068	-0.007364	0.01661	
YAL048C	0.00264	13704	20002752373	2690.715	2693.197	-2.483	-0.001065	0.01648	
YAL049C	0.2205	5109	20008451841	992.399	992.778	-0.379	0.0004621	0.001366	
YAL051W	0.01629	21093	20000077604	4291.661	4287.965	3.696	-0.009276	0.0378	
YAL053W	0.148	16827	20001193541	3193.794	3186.577	7.217	-0.01216	0.01837	
YAL054C	0.003736	15960	20000680342	2904.056	2901.514	2.543	-0.002382	0.01648	
YAL055W	0.08669	3759	20003975309	726.538	727.082	-0.544	0.001827	0.001034	
YAL056W	0.0126	18120	20001419467	3596.125	3595.350	0.775	0.000738	0.02658	
YAL058W	0.05662	10333	20000505633	2034.218	2033.899	0.319	-0.004603	0.00803	
YAL059W	0.1477	4425	20001812470	856.586	856.086	0.500	0.0004138	0.001443	
YAL060W	0.1071	8183	20005834332	1545.370	1543.796	1.573	-0.002743	0.003626	
YAL061W	0.01077	8859	20001423381	1689.061	1686.718	2.343	-0.001694	0.004803	
YAL062W	0.02865	9824	20002074515	1849.377	1848.113	1.263	-0.006798	0.004768	
YAL063C	0.000671	31774	20001158914	5469.419	5479.793	-10.374	0.008897	0.07089	
YAL064CA	0.004815	2767	20013837346	509.489	509.555	-0.066	0.002668	0.0005195	
YAL064W	0.005307	2223	20019591957	437.068	437.392	-0.323	0.003462	0.0005794	
YAL064WB	0.005464	3018	20001088900	509.483	509.504	-0.021	0.0006227	0.000517	
YAL065C	0.002324	2847	20004301775	517.672	517.441	0.230	-0.002237	0.0005349	
YAL067C	0.003482	11712	20001733825	2410.340	2407.359	2.982	-0.0004038	0.01205	
YAL068C	0.05321	2968	20000044063	485.434	485.302	0.132	0.0002095	0.0003487	
YAR002CA	0.3306	4557	20001811139	884.820	883.983	0.838	-0.003913	0.001417	
YAR002W	0.08884	11289	20001254023	2186.405	2185.930	0.475	-0.0009709	0.00888	
YAR003W	0.01736	8443	20000582500	1725.142	1724.943	0.199	0.0002546	0.005915	
YAR007C	0.07204	12501	20000549048	2522.097	2519.704	2.393	-0.008524	0.01083	
YAR008W	0.06365	5788	20007602998	1111.339	1110.984	0.355	0.0007167	0.002107	
YAR014C	0.01781	13880	20002381521	2877.250	2877.578	-0.328	-4.878e-05	0.01689	
YAR015W	0.2413	6445	20010899125	1237.450	1235.807	1.643	-0.004498	0.002802	
YAR018C	0.02681	8357	20002621715	1761.546	1761.131	0.414	-0.001873	0.005825	
YAR019C	0.004468	20367	20001857329	3996.314	3988.640	7.675	0.001542	0.03579	
YAR020C	0.9946	1370	20001578586	224.324	224.227	0.098	-0.001266	7.902e-05	
YAR023C	0.005318	3565	20001987965	723.721	722.764	0.956	-0.0006679	0.0007165	
YAR027W	0.05885	4814	20000696131	949.626	949.076	0.550	0.003443	0.001526	
YAR028W	0.02089	4621	20002116170	944.616	944.494	0.122	-0.002011	0.001742	
YAR029W	0.002071	1280	20039158113	300.541	300.586	-0.045	0.000547	0.0002396	
YAR031W	0.002175	5782	20009756471	1204.214	1203.794	0.420	-3.018e-05	0.002581	
YAR033W	0.0186	4988	20008236739	945.589	944.751	0.839	-0.003614	0.001533	
YAR035W	0.01023	15199	20001898919	2795.300	2797.701	-2.400	0.001163	0.01658	
YAR042W	0.01532	24021	20000919946	4881.132	4885.879	-4.747	0.002963	0.04376	
YAR050W	0.001264	37201	20000363877	6393.242	6390.429	2.813	-0.00506	0.09441	
YAR064W	0.001266	2023	20001349115	400.907	400.852	0.055	-0.001106	0.0002724	
YAR066W	0.005157	4732	20024510439	819.303	819.910	-0.607	0.0007728	0.001416	
YAR068W	0.01535	4231	20000079245	651.263	651.290	-0.026	0.000838	0.00141	
YAR071W	0.3374	9141	20001506637	1889.516	1886.095	3.421	-0.01586	0.005168	
YBL001C	0.2903	2096	20002517819	421.000	420.980	0.020	-0.0002735	0.0003496	
YBL002W	0.7558	3065	20004186774	529.529	529.332	0.197	-0.003503	0.0004943	
YBL003C	0.7568	3270	20000164652	533.883	533.588	0.295	-0.001746	0.0006956	
YBL004W	0.01949	51712	20000363856	10583.659	10515.903	67.756	-0.05906	0.2504	
YBL005W	0.02043	19859	20000446038	3998.638	3993.822	4.816	-0.01053	0.03642	
YBL006C	0.1949	3874	20002242617	727.391	727.045	0.346	-0.002544	0.00102	
YBL007C	0.1244	26532	20000159647	5137.917	5102.662	35.255	-0.03915	0.05179	
YBL008W	0.004643	17995	20000980442	3426.718	3433.381	-6.664	0.005631	0.02679	
YBL009W	0.008552	14355	20000313796	2750.471	2756.978	-6.506	0.008745	0.02082	
YBL010C	0.004229	5386	20000983606	1132.739	1131.237	1.502	-0.004194	0.002838	
YBL011W	0.05449	16189	20000910236	3094.706	3091.505	3.200	-0.004188	0.01766	
YBL013W	0.001373	9137	20000114518	1625.357	1624.672	0.685	0.003169	0.005287	
