ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23524	20000035235	6113.356	5897.240	216.116	-0.3445	7.627	
YAL002W	0.003231	26721	20000034272	7009.397	6820.630	188.767	-0.1612	11.7	
YAL003W	4.073	1857	20015386620	864.914	841.580	23.334	-0.1429	0.04929	
YAL005C	1.19	5864	20005255792	2980.699	2705.244	275.455	-0.5511	0.5725	
YAL007C	0.09272	4468	20001161334	906.134	897.748	8.386	-0.06492	0.1572	
YAL008W	0.07363	4191	20008992281	834.076	824.668	9.408	-0.07791	0.1355	
YAL009W	0.02451	5405	20018651430	1099.882	1102.622	-2.740	-0.00963	0.2192	
YAL010C	0.008606	10137	20003665000	2248.184	2218.517	29.667	0.01055	1.246	
YAL011W	0.01638	12013	20000898659	2888.709	2834.672	54.037	-0.1536	1.372	
YAL012W	1.262	4760	20001401635	1732.467	1633.128	99.339	-0.3066	0.2106	
YAL013W	0.06334	7567	20006745792	1865.849	1799.338	66.511	-0.2212	0.4674	
YAL014C	0.02744	5469	20000533468	1084.991	1090.671	-5.680	-0.04814	0.364	
YAL015C	0.02572	8359	20000155933	1748.362	1743.026	5.335	-0.08814	0.648	
YAL016W	0.2432	10533	20002208774	2974.575	2713.484	261.091	-0.5555	1.052	
YAL017W	0.009617	27698	20001052098	7510.031	6946.900	563.131	-0.5778	8.55	
YAL018C	0.007849	6658	20002959540	1406.208	1402.831	3.377	-0.01302	0.415	
YAL019W	0.03881	20666	20000189285	5818.469	5308.912	509.557	-0.7678	4.536	
YAL020C	0.0247	7151	20003398123	1445.370	1430.555	14.814	-0.08177	0.3374	
YAL021C	0.0777	14480	20000640812	4057.231	3729.904	327.328	-0.596	1.837	
YAL022C	0.09222	9758	20001455662	2327.105	2232.047	95.058	-0.3004	0.7202	
YAL023C	0.3228	10520	20004767844	3613.726	3276.068	337.658	-0.6352	1.109	
YAL024C	0.002008	29060	20000749635	8201.973	7960.558	241.415	-0.1683	15.42	
YAL025C	0.08824	5554	20009963780	1321.080	1290.411	30.669	-0.106	0.1821	
YAL026C	0.003022	27608	20000069176	7430.318	7366.071	64.247	-0.1225	12.09	
YAL027W	0.02962	5424	20013340095	1123.490	1109.689	13.802	-0.0258	0.2532	
YAL028W	0.00626	11018	20001789997	2409.557	2364.321	45.236	-0.1097	1.236	
YAL029C	0.0107	28692	20002175061	8384.455	7711.512	672.943	-0.7237	11.51	
YAL030W	0.2404	2447	20004428100	482.589	482.133	0.456	-0.02838	0.03037	
YAL031C	0.01527	16201	20000258309	3715.603	3542.921	172.683	-0.3268	2.888	
YAL032C	0.005799	8012	20000166210	1656.982	1654.700	2.283	-0.009061	0.4388	
YAL033W	0.07453	3449	20008927138	722.424	719.843	2.581	-0.02594	0.07918	
YAL034C	0.001526	8991	20002377503	1819.667	1809.700	9.967	-0.07231	0.7124	
YAL034WA	0.006985	5912	20004316283	1234.872	1231.719	3.153	-0.09379	0.3816	
YAL035W	0.2857	12089	20000388928	5085.612	4393.562	692.050	-0.9838	2.196	
YAL036C	0.3492	6378	20003941211	1604.177	1541.973	62.204	-0.2725	0.2787	
YAL037W	0.008014	5512	20004841541	1139.042	1142.993	-3.951	-0.01744	0.2981	
YAL038W	14.56	1354	20002853633	2247.241	2081.353	165.889	-0.4394	0.3443	
