ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23869	20000092316	6165.001	6151.931	13.070	0.0884	8.93	
YAL002W	0.003231	26505	20001942567	7042.451	7081.997	-39.546	0.137	13.9	
YAL003W	4.073	4087	20007935078	861.053	863.495	-2.441	0.008641	0.1409	
YAL005C	1.19	14120	20000455440	2981.046	2973.566	7.480	-0.02466	1.721	
YAL007C	0.09272	4557	20006427521	905.231	907.006	-1.775	-0.01337	0.1885	
YAL008W	0.07363	4343	20003320983	834.869	830.107	4.762	-0.03563	0.1433	
YAL009W	0.02451	5412	20003161447	1107.797	1104.609	3.189	-0.00765	0.2262	
YAL010C	0.008606	10298	20003718958	2200.090	2210.849	-10.759	-0.02095	1.125	
YAL011W	0.01638	12290	20003013355	2898.408	2908.069	-9.661	0.06604	1.789	
YAL012W	1.262	9086	20004292586	1733.895	1720.801	13.094	-0.01211	0.5294	
YAL013W	0.06334	7853	20000159611	1856.608	1851.877	4.731	-0.01292	0.6984	
YAL014C	0.02744	5445	20000530429	1092.667	1085.620	7.047	-0.01822	0.3313	
YAL015C	0.02572	8286	20001900190	1763.400	1763.193	0.207	0.02462	0.6567	
YAL016W	0.2432	13755	20000224052	2957.476	2917.311	40.165	-0.1295	1.968	
YAL017W	0.009617	28022	20000670258	7463.739	7501.786	-38.047	0.02485	13.2	
YAL018C	0.007849	6714	20003161708	1405.905	1407.031	-1.127	-0.02413	0.5021	
YAL019W	0.03881	22888	20000738105	5848.908	5781.708	67.201	-0.1569	7.677	
YAL020C	0.0247	7185	20002781833	1454.307	1458.128	-3.821	0.05216	0.4962	
YAL021C	0.0777	16788	20000156420	4067.228	4098.936	-31.708	0.06113	3.979	
YAL022C	0.09222	10898	20000858735	2326.577	2336.082	-9.505	0.01418	1.222	
YAL023C	0.3228	16070	20000826905	3635.931	3629.494	6.437	-0.008803	2.881	
YAL024C	0.002008	28723	20001402151	8127.729	8174.941	-47.211	0.04743	17.01	
YAL025C	0.08824	5751	20002361096	1314.878	1314.449	0.429	-0.02256	0.2614	
YAL026C	0.003022	28112	20001186752	7528.394	7478.819	49.576	0.07224	12.89	
YAL027W	0.02962	5521	20002677102	1117.058	1111.932	5.126	4.533e-05	0.2691	
YAL028W	0.00626	11009	20000380780	2387.038	2398.349	-11.312	-0.002874	1.376	
YAL029C	0.0107	29275	20000957622	8457.041	8623.754	-166.713	0.2368	19.92	
YAL030W	0.2404	2512	20020965757	485.591	481.342	4.249	-0.05861	0.03695	
YAL031C	0.01527	16404	20000796943	3664.968	3685.738	-20.770	0.03843	3.471	
YAL032C	0.005799	8147	20008047751	1644.925	1656.090	-11.166	-0.01362	0.5176	
YAL033W	0.07453	3494	20000991171	721.191	721.112	0.079	-0.008116	0.07585	
YAL034C	0.001526	8908	20001096051	1837.831	1844.725	-6.895	0.06744	0.9352	
YAL034WA	0.006985	5959	20005557056	1244.850	1251.379	-6.529	0.0515	0.4318	
YAL035W	0.2857	20665	20000383505	5167.443	5094.593	72.850	0.02269	6.194	
YAL036C	0.3492	8026	20002041546	1597.611	1619.034	-21.423	0.01265	0.5054	
YAL037W	0.008014	5535	20000086429	1143.418	1148.362	-4.944	0.01561	0.3449	
YAL038W	14.56	11266	20002407120	2244.513	2251.162	-6.648	0.03845	0.9161	
YAL039C	0.2378	5506	20000251952	1145.157	1149.598	-4.442	0.0007534	0.2761	
YAL040C	0.01916	12762	20000689426	2683.945	2663.501	20.444	-0.07486	1.926	
YAL041W	0.01412	17317	20001593373	4138.168	4180.174	-42.005	0.02649	4.27	
YAL042W	0.4625	8388	20001105686	1819.752	1833.246	-13.495	0.01649	0.6871	
YAL043C	0.02276	16808	20000778150	3909.286	3835.122	74.164	0.03182	4.039	
YAL044C	1.007	3645	20003690824	710.502	711.002	-0.500	-0.004577	0.106	
YAL046C	0.06163	2449	20000547558	488.930	489.332	-0.403	-0.02105	0.06345	
YAL047C	0.006219	11876	20001317688	2940.086	2924.867	15.219	0.03944	2.282	
YAL048C	0.00264	13899	20000270998	3176.203	3112.848	63.355	-0.001878	2.565	
YAL049C	0.2205	5183	20003793190	1042.055	1037.193	4.862	-0.007324	0.1597	
YAL051W	0.01629	21387	20001183244	5409.961	5356.374	53.588	-0.03918	7.432	
YAL053W	0.148	17236	20000575680	3739.267	3800.007	-60.740	0.1007	3.185	
YAL054C	0.003736	15610	20000443022	3359.342	3347.802	11.540	-0.005793	2.431	
YAL055W	0.08669	3792	20004045976	749.706	752.526	-2.821	0.008461	0.08283	
YAL056W	0.0126	18120	20000103596	4405.003	4364.767	40.236	0.09554	4.037	
