ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23777	20000462485	6041.082	6088.422	-47.340	-0.007363	8.735	
YAL002W	0.003231	26376	20000242612	6976.712	6851.869	124.843	-0.1284	11.92	
YAL003W	4.073	4160	20006750298	863.733	859.198	4.535	-0.04907	0.1164	
YAL005C	1.19	13866	20000040489	2955.082	2924.442	30.639	-0.1349	1.54	
YAL007C	0.09272	4460	20004378548	907.917	912.628	-4.711	0.03213	0.1818	
YAL008W	0.07363	4419	20001549457	833.573	835.364	-1.791	0.007869	0.1686	
YAL009W	0.02451	5475	20002413389	1113.547	1110.476	3.071	0.0129	0.2471	
YAL010C	0.008606	10159	20001180546	2223.212	2212.684	10.528	-0.01509	1.169	
YAL011W	0.01638	12262	20005865330	2878.256	2882.997	-4.740	-0.02251	1.597	
YAL012W	1.262	9160	20000318523	1733.447	1711.243	22.204	-0.07639	0.5979	
YAL013W	0.06334	7994	20004051218	1853.523	1854.513	-0.990	0.0194	0.6483	
YAL014C	0.02744	5581	20001089925	1103.249	1096.781	6.468	0.03148	0.3586	
YAL015C	0.02572	8443	20003931666	1770.373	1757.255	13.118	-0.01981	0.712	
YAL016W	0.2432	13800	20003906034	2933.939	2925.274	8.665	-0.1325	1.958	
YAL017W	0.009617	27775	20000344997	7561.868	7469.135	92.732	0.001013	13.36	
YAL018C	0.007849	6707	20001088911	1400.845	1408.381	-7.536	-0.005809	0.4631	
YAL019W	0.03881	22713	20000007051	5879.706	5843.838	35.868	0.007038	7.885	
YAL020C	0.0247	7220	20002281909	1436.984	1444.943	-7.958	-0.02137	0.487	
YAL021C	0.0777	16983	20000275234	4047.610	4023.849	23.761	-0.04991	3.512	
YAL022C	0.09222	10896	20002486045	2352.406	2310.679	41.727	-0.07203	1.11	
YAL023C	0.3228	15650	20001873709	3637.974	3568.035	69.939	-0.124	2.62	
YAL024C	0.002008	29152	20000927069	8268.278	8218.038	50.240	0.03523	18.56	
YAL025C	0.08824	5556	20000854604	1306.898	1315.751	-8.853	-0.001645	0.2686	
YAL026C	0.003022	28069	20002773319	7429.800	7457.257	-27.458	-0.03092	12.42	
YAL027W	0.02962	5505	20000125606	1111.621	1115.303	-3.682	-0.006521	0.2463	
YAL028W	0.00626	11081	20000673347	2400.876	2393.787	7.090	-0.00564	1.327	
YAL029C	0.0107	29361	20000107196	8367.776	8474.884	-107.108	0.08888	18.59	
YAL030W	0.2404	2555	20023276482	485.957	484.698	1.258	0.01544	0.02924	
YAL031C	0.01527	16374	20000750864	3680.984	3608.711	72.273	-0.1788	3.205	
