ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23757	20001375232	6166.836	5986.337	180.500	-0.3893	7.392	
YAL002W	0.003231	26562	20000608155	7059.693	6959.417	100.276	-0.1136	11.23	
YAL003W	4.073	1442	20007662519	942.737	920.023	22.714	-0.1735	0.05937	
YAL005C	1.19	5528	20004106661	3082.756	2788.918	293.838	-0.5914	0.6258	
YAL007C	0.09272	4537	20000778467	987.498	974.969	12.529	-0.1248	0.2016	
YAL008W	0.07363	4266	20002802311	918.965	913.460	5.505	-0.04029	0.1893	
YAL009W	0.02451	5259	20000510111	1184.192	1185.607	-1.415	-0.02691	0.247	
YAL010C	0.008606	10065	20006498610	2314.399	2301.806	12.593	-0.07157	1.324	
YAL011W	0.01638	12127	20000089554	2992.266	2944.079	48.187	-0.1527	1.686	
YAL012W	1.262	4493	20000418409	1803.890	1711.543	92.347	-0.3398	0.2391	
YAL013W	0.06334	7696	20000838932	1956.109	1891.419	64.690	-0.2617	0.646	
YAL014C	0.02744	5311	20000433824	1190.321	1176.056	14.265	0.02718	0.3825	
YAL015C	0.02572	8351	20002135860	1845.356	1843.605	1.751	-0.06157	0.7908	
YAL016W	0.2432	10234	20002591822	3036.713	2801.737	234.977	-0.524	0.9274	
YAL017W	0.009617	27615	20000205896	7707.495	7075.482	632.013	-0.5989	9.305	
YAL018C	0.007849	6714	20000867247	1497.598	1495.019	2.579	-0.01828	0.5575	
YAL019W	0.03881	20777	20000298456	6039.944	5408.503	631.442	-0.735	4.376	
YAL020C	0.0247	7165	20004890897	1532.236	1525.902	6.334	-0.04271	0.491	
YAL021C	0.0777	14670	20002273245	4206.406	3833.135	373.271	-0.6601	2.234	
YAL022C	0.09222	9910	20001875744	2411.848	2319.230	92.619	-0.3285	0.8543	
YAL023C	0.3228	9970	20008624480	3718.033	3355.115	362.918	-0.6625	1.051	
