ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23587	20001633813	6170.929	5889.389	281.540	-0.3319	6.859	
YAL002W	0.003231	26491	20001443177	6947.755	6788.351	159.404	-0.3254	11.85	
YAL003W	4.073	1736	20009998741	862.188	841.310	20.878	-0.1457	0.0479	
YAL005C	1.19	5879	20000885172	2974.195	2702.337	271.858	-0.556	0.5741	
YAL007C	0.09272	4434	20000495770	907.458	897.962	9.496	-0.08311	0.1578	
YAL008W	0.07363	4276	20006080655	829.375	828.097	1.278	-0.02714	0.1454	
YAL009W	0.02451	5425	20011046466	1111.338	1107.819	3.519	0.009107	0.2302	
YAL010C	0.008606	10197	20000830555	2227.519	2205.780	21.739	-0.05238	1.139	
YAL011W	0.01638	12057	20001575592	2916.881	2836.836	80.044	-0.178	1.498	
YAL012W	1.262	4853	20003266036	1722.176	1631.758	90.418	-0.3132	0.2253	
YAL013W	0.06334	7578	20000744580	1852.892	1822.385	30.507	-0.1252	0.592	
YAL014C	0.02744	5339	20003801382	1099.620	1095.796	3.824	0.002401	0.3815	
YAL015C	0.02572	8394	20000067779	1760.123	1752.026	8.097	-0.002324	0.5891	
YAL016W	0.2432	10503	20000513894	2982.170	2718.693	263.477	-0.5127	0.9494	
YAL017W	0.009617	27438	20000570913	7441.606	7033.857	407.750	-0.5436	9.458	
YAL018C	0.007849	6795	20002484065	1401.247	1411.595	-10.348	0.05764	0.4267	
YAL019W	0.03881	20729	20002150013	5975.644	5286.355	689.288	-0.727	3.907	
YAL020C	0.0247	7135	20004065728	1454.595	1435.950	18.645	-0.01727	0.364	
YAL021C	0.0777	14712	20005120962	4054.476	3729.558	324.918	-0.6277	2.01	
YAL022C	0.09222	9989	20000721684	2353.433	2224.725	128.709	-0.3239	0.7238	
YAL023C	0.3228	10317	20001386887	3644.037	3279.723	364.313	-0.6254	1.09	
YAL024C	0.002008	28769	20004859792	8130.715	8032.971	97.744	-0.2048	15.99	
YAL025C	0.08824	5411	20003456028	1320.963	1301.844	19.118	-0.08084	0.2207	
YAL026C	0.003022	27694	20000673160	7493.063	7323.797	169.265	-0.1231	11.91	
YAL027W	0.02962	5492	20000809310	1113.345	1103.531	9.815	-0.05809	0.2179	
YAL028W	0.00626	11168	20000303371	2387.505	2384.667	2.839	-0.04068	1.466	
