ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23339	20000889993	6782.112	6358.693	423.419	-0.4928	9.107	
YAL002W	0.003231	26437	20000627296	7680.019	7428.473	251.546	-0.1788	15.35	
YAL003W	4.073	932	20003904230	1234.503	1197.389	37.114	-0.2769	0.1194	
YAL005C	1.19	4619	20005093886	3410.407	3083.787	326.620	-0.718	0.8233	
YAL007C	0.09272	4268	20004885534	1294.980	1259.570	35.409	-0.1808	0.2932	
YAL008W	0.07363	4166	20001362860	1226.443	1202.142	24.301	-0.1064	0.4409	
YAL009W	0.02451	5411	20000784296	1499.884	1494.916	4.968	0.01077	0.4822	
YAL010C	0.008606	10192	20003009475	2637.442	2595.361	42.081	-0.1572	1.557	
YAL011W	0.01638	11910	20001464349	3329.428	3263.802	65.626	-0.1991	1.974	
YAL012W	1.262	3595	20008203185	2149.931	1997.562	152.369	-0.4638	0.3598	
YAL013W	0.06334	7549	20006025964	2271.045	2197.970	73.075	-0.2803	0.8944	
YAL014C	0.02744	5394	20003063217	1475.404	1464.475	10.929	-0.1447	0.6851	
YAL015C	0.02572	8271	20002222650	2179.743	2173.051	6.692	-0.05358	1.328	
YAL016W	0.2432	9698	20000377767	3475.932	3106.649	369.282	-0.6625	1.35	
YAL017W	0.009617	27216	20000738301	8221.146	7568.824	652.322	-0.5904	10.95	
YAL018C	0.007849	6731	20000912861	1794.101	1784.757	9.343	-0.1052	0.8113	
YAL019W	0.03881	20472	20000696128	6463.845	5756.107	707.737	-0.9373	5.637	
YAL020C	0.0247	7279	20001720411	1862.296	1834.730	27.566	-0.06431	0.8107	
YAL021C	0.0777	14030	20005361320	4660.890	4157.561	503.329	-0.7765	2.661	
YAL022C	0.09222	9544	20002282618	2768.262	2615.294	152.967	-0.4783	1.159	
YAL023C	0.3228	9251	20001420584	4090.562	3672.407	418.155	-0.8205	1.528	
YAL024C	0.002008	28829	20000177243	8854.314	8496.030	358.283	-0.3605	18.48	
YAL025C	0.08824	5377	20005517867	1723.377	1663.974	59.403	-0.2233	0.4204	
YAL026C	0.003022	28240	20001449880	8125.332	7760.875	364.457	-0.3934	13	
YAL027W	0.02962	5307	20002659609	1519.900	1487.782	32.118	-0.08414	0.6003	
YAL028W	0.00626	11145	20001086412	2866.100	2817.100	49.000	-0.06883	2.115	
YAL029C	0.0107	28484	20000128448	9261.147	8264.458	996.689	-0.831	14.14	
YAL030W	0.2404	2232	20003287974	852.816	837.807	15.009	-0.1494	0.1376	
YAL031C	0.01527	16210	20000986728	4151.289	4040.080	111.209	-0.32	4.135	
YAL032C	0.005799	8038	20002102604	2066.645	2042.830	23.816	-0.1222	0.8923	
YAL033W	0.07453	3425	20000619523	1092.872	1087.061	5.812	-0.0929	0.2512	
YAL034C	0.001526	8802	20007171362	2256.690	2262.698	-6.008	0.06204	1.537	
YAL034WA	0.006985	5894	20000803762	1636.535	1627.025	9.510	-0.07591	0.7928	
YAL035W	0.2857	11430	20002830084	5685.094	4806.849	878.245	-1.173	2.839	
YAL036C	0.3492	5709	20003214567	2054.242	1908.886	145.355	-0.4706	0.5532	
YAL037W	0.008014	5481	20010692102	1532.593	1527.724	4.869	-0.08274	0.7916	
YAL038W	14.56	920	20032315455	2701.782	2454.838	246.945	-0.5947	0.5152	
YAL039C	0.2378	4448	20002459863	1542.700	1484.252	58.448	-0.3651	0.3685	
YAL040C	0.01916	12549	20001036664	3190.519	3034.225	156.294	-0.2584	2.377	
YAL041W	0.01412	17147	20001548066	4696.123	4507.820	188.303	-0.3605	4.451	
YAL042W	0.4625	5202	20009631972	2229.672	2105.355	124.317	-0.4667	0.4389	
YAL043C	0.02276	15926	20002300249	4318.666	4117.376	201.290	-0.4232	4.088	
YAL044C	1.007	1881	20004877020	1087.859	1051.277	36.581	-0.2995	0.1489	
YAL046C	0.06163	2448	20028865234	854.074	852.825	1.249	-0.07683	0.2493	
