ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23712	20002101990	6333.902	5933.706	400.196	-0.4344	7.167	
YAL002W	0.003231	26513	20002261779	7133.908	6957.673	176.234	-0.1426	11.18	
YAL003W	4.073	1526	20016254230	960.317	929.771	30.546	-0.1795	0.06181	
YAL005C	1.19	5396	20015650842	3071.793	2799.885	271.908	-0.5912	0.6191	
YAL007C	0.09272	4436	20001258695	1010.151	987.816	22.335	-0.1032	0.1984	
YAL008W	0.07363	4285	20003212535	929.008	915.664	13.345	-0.07023	0.1427	
YAL009W	0.02451	5443	20000469569	1199.857	1196.832	3.025	-0.03918	0.284	
YAL010C	0.008606	10115	20004759736	2350.270	2317.233	33.037	-0.02728	1.394	
YAL011W	0.01638	12237	20000049199	3009.248	2939.972	69.276	-0.1828	1.709	
YAL012W	1.262	4460	20000561954	1833.568	1723.656	109.912	-0.3413	0.2366	
YAL013W	0.06334	7731	20001190089	1949.290	1913.536	35.754	-0.2132	0.7004	
YAL014C	0.02744	5341	20001338969	1180.179	1192.822	-12.643	-0.004854	0.424	
YAL015C	0.02572	8330	20004362509	1867.486	1841.678	25.808	-0.09015	0.7192	
YAL016W	0.2432	10341	20001341269	3098.488	2809.655	288.833	-0.5992	1.126	
YAL017W	0.009617	27824	20002730363	7499.897	7137.590	362.306	-0.5996	9.83	
YAL018C	0.007849	6719	20002394238	1504.926	1502.228	2.698	-0.02041	0.5403	
YAL019W	0.03881	20605	20000275999	6009.851	5438.641	571.210	-0.7229	4.505	
YAL020C	0.0247	7160	20005501767	1554.327	1528.615	25.712	-0.09687	0.4415	
YAL021C	0.0777	14612	20000032874	4204.373	3843.795	360.578	-0.6589	2.271	
YAL022C	0.09222	9745	20000355843	2430.340	2345.932	84.408	-0.3242	0.9525	
YAL023C	0.3228	10065	20001476132	3739.795	3372.083	367.712	-0.6629	1.143	
YAL024C	0.002008	28897	20001123360	8364.709	8178.333	186.375	-0.19	16.43	
YAL025C	0.08824	5403	20001160483	1413.716	1389.546	24.170	-0.1145	0.2788	
YAL026C	0.003022	27872	20002150340	7643.817	7486.686	157.131	-0.13	12.54	
YAL027W	0.02962	5417	20000050789	1213.166	1207.181	5.986	-0.02732	0.3195	
YAL028W	0.00626	11180	20001986619	2504.273	2518.463	-14.190	0.02543	1.724	
YAL029C	0.0107	28453	20000468173	8756.124	7923.091	833.032	-0.7154	12.93	
YAL030W	0.2404	2372	20013264617	576.553	568.946	7.607	-0.0802	0.04664	
YAL031C	0.01527	16147	20000589956	3786.407	3694.357	92.050	-0.1821	2.962	
YAL032C	0.005799	7980	20000950055	1757.697	1757.652	0.045	-0.01141	0.5872	
YAL033W	0.07453	3460	20024612266	815.445	810.475	4.970	-0.03463	0.1003	
YAL034C	0.001526	8810	20001949612	1942.312	1928.604	13.707	-0.02381	0.9177	
YAL034WA	0.006985	5945	20002855388	1350.013	1336.956	13.057	-0.04646	0.5056	
YAL035W	0.2857	12070	20002043305	5279.071	4498.675	780.396	-0.9804	2.098	
YAL036C	0.3492	5967	20005426450	1714.188	1634.372	79.816	-0.3253	0.3526	
YAL037W	0.008014	5502	20006755954	1235.109	1235.757	-0.648	-0.05951	0.3614	
YAL038W	14.56	1066	20020470347	2356.198	2175.743	180.454	-0.4774	0.3775	
YAL039C	0.2378	4907	20002449716	1256.682	1213.292	43.390	-0.2285	0.2342	
YAL040C	0.01916	12404	20000999283	2788.853	2707.347	81.506	-0.2327	1.681	
YAL041W	0.01412	16927	20001068900	4306.305	4127.129	179.176	-0.2776	3.35	
YAL042W	0.4625	5786	20001328117	1932.955	1829.114	103.841	-0.367	0.3813	
YAL043C	0.02276	16337	20000449026	3949.626	3709.049	240.577	-0.4224	2.745	
YAL044C	1.007	2443	20005615377	799.897	783.618	16.279	-0.1728	0.06773	
YAL046C	0.06163	2430	20009491279	581.133	577.508	3.625	-0.05618	0.0855	
YAL047C	0.006219	12015	20001593981	2985.369	3005.221	-19.852	-0.08386	2.704	
