ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23885	20000043248	4656.511	4656.371	0.140	-0.0003209	0.0004629	
YAL002W	0.003231	26261	20001805818	5114.472	5114.709	-0.237	-0.0008877	0.0005759	
YAL003W	4.073	4122	20012389801	828.319	828.337	-0.019	-9.894e-05	1.102e-05	
YAL005C	1.19	14298	20001364414	2575.564	2575.760	-0.197	3.368e-05	0.0001231	
YAL007C	0.09272	4525	20000735697	864.428	864.392	0.036	-3.857e-05	1.18e-05	
YAL008W	0.07363	4246	20026333550	796.373	796.373	0.000	-4.634e-05	1.401e-05	
YAL009W	0.02451	5558	20016899316	1040.687	1040.631	0.056	-0.0001919	1.804e-05	
YAL010C	0.008606	10193	20000610440	1978.151	1978.348	-0.197	0.0002181	9.096e-05	
YAL011W	0.01638	12004	20001615892	2507.566	2507.673	-0.107	0.0003647	0.0001198	
YAL012W	1.262	9148	20000378686	1581.216	1581.364	-0.148	-0.0002196	4.633e-05	
YAL013W	0.06334	7893	20000661559	1685.747	1685.768	-0.022	0.0004915	6.784e-05	
YAL014C	0.02744	5489	20009448941	1024.720	1024.673	0.046	1.493e-05	3.06e-05	
YAL015C	0.02572	8235	20007013768	1601.526	1601.583	-0.056	0.0003077	5.293e-05	
YAL016W	0.2432	13830	20000390084	2547.619	2547.576	0.043	-0.0005495	0.0001367	
YAL017W	0.009617	27998	20000252453	5444.988	5445.324	-0.336	0.0009695	0.0005727	
YAL018C	0.007849	6742	20000687940	1304.879	1305.074	-0.195	0.0005321	3.691e-05	
YAL019W	0.03881	22770	20000191481	4539.736	4538.530	1.206	-0.001396	0.0004254	
YAL020C	0.0247	7128	20005008364	1337.076	1337.181	-0.104	0.0005572	3.866e-05	
YAL021C	0.0777	16830	20001844606	3358.034	3358.176	-0.142	-0.00051	0.0002374	
YAL022C	0.09222	10870	20002793586	2074.550	2074.424	0.126	8.247e-05	8.197e-05	
YAL023C	0.3228	16033	20000334586	3045.171	3044.865	0.306	-0.0008337	0.0001699	
YAL024C	0.002008	28968	20000489019	5763.555	5763.454	0.101	0.0002863	0.0007484	
YAL025C	0.08824	5819	20007811282	1228.804	1228.892	-0.088	0.0001713	1.968e-05	
YAL026C	0.003022	27788	20002770553	5440.156	5440.716	-0.560	0.0002074	0.0005636	
YAL027W	0.02962	5473	20002407623	1048.614	1048.707	-0.093	0.0003418	2.49e-05	
YAL028W	0.00626	11049	20000283808	2118.632	2118.622	0.010	-0.000245	0.0001079	
YAL029C	0.0107	29676	20000097242	5907.960	5908.344	-0.384	-0.0003985	0.0007989	
YAL030W	0.2404	2497	20024361736	472.144	472.125	0.019	1.032e-05	3.606e-06	
YAL031C	0.01527	16662	20001893465	3049.976	3049.392	0.583	-0.0007001	0.0002075	
YAL032C	0.005799	8103	20000116797	1521.247	1521.322	-0.075	4.881e-05	3.825e-05	
YAL033W	0.07453	3559	20004467459	696.225	696.253	-0.028	-0.0001242	6.284e-06	
YAL034C	0.001526	8939	20000787537	1657.709	1657.532	0.177	-0.000529	5.873e-05	
YAL034WA	0.006985	5892	20002353778	1160.800	1160.811	-0.011	0.0002635	3.127e-05	
YAL035W	0.2857	20945	20000089159	4021.843	4020.810	1.034	-0.001422	0.0003471	
YAL036C	0.3492	8115	20005123024	1481.226	1481.251	-0.026	-0.0003837	4.533e-05	
YAL037W	0.008014	5472	20000432263	1072.723	1072.691	0.033	-0.000235	2.863e-05	
YAL038W	14.56	9908	20001708606	2006.399	2005.350	1.049	-0.002762	5.426e-05	
YAL039C	0.2378	5575	20004846898	1080.698	1080.686	0.013	5.258e-05	2.597e-05	
YAL040C	0.01916	12501	20004739951	2327.167	2327.214	-0.047	8.233e-06	0.0001389	
YAL041W	0.01412	17013	20000672463	3427.203	3426.876	0.327	0.0001606	0.0002665	
YAL042W	0.4625	8591	20000263007	1665.442	1665.482	-0.040	-0.0002091	4.729e-05	
YAL043C	0.02276	16745	20000347281	3150.153	3150.238	-0.084	0.0001547	0.0002546	
YAL044C	1.007	3632	20005218910	684.280	684.258	0.022	-0.0002322	1.017e-05	
YAL046C	0.06163	2358	20009707587	476.138	476.122	0.016	-0.0001998	4.464e-06	
YAL047C	0.006219	11900	20000264043	2495.782	2495.857	-0.075	0.0003867	0.000174	
YAL048C	0.00264	13766	20000305154	2656.186	2656.151	0.035	-1.808e-05	0.0001647	
YAL049C	0.2205	5148	20006289523	988.495	988.497	-0.002	-7.132e-05	1.56e-05	
YAL051W	0.01629	21391	20001333647	4202.055	4201.858	0.197	-0.0005511	0.0003908	
YAL053W	0.148	17041	20000178497	3141.725	3141.455	0.270	-0.0003476	0.0001914	
YAL054C	0.003736	16012	20001285819	2860.282	2860.712	-0.430	0.0005907	0.0001599	
YAL055W	0.08669	3647	20001614214	724.278	724.283	-0.005	3.17e-05	8.919e-06	
YAL056W	0.0126	18338	20000276330	3530.874	3531.138	-0.264	0.0003878	0.0002346	
YAL058W	0.05662	10335	20002317428	2014.294	2014.505	-0.211	0.0003491	9.283e-05	
YAL059W	0.1477	4451	20000642404	852.366	852.356	0.010	-0.0005539	1.413e-05	
